2023-0071, SGM 358 ,358-2,NjP,EPSapa,1670.76,1285.2,1799.28,1317.33,1670.76,1735.02,1670.76,1799.28,2120.58,2120.58,2313.36,2377.62
2023-0072, A2SL SGM ,A2XX,ShP,EPSapa,1477.98,1092.42,1477.98,1349.46,1413.72,1413.72,1413.72,1542.24,1799.28,1799.28,1863.54,1992.06
2023-0073, A2LL SGM ,A2XX,ShP,EPSapa,4511.052,4164.048,5436.396,4973.724,5205.06,5320.728,5436.396,5783.4,6361.74,6650.91,6940.08,6940.08
2023-0074, A88 ,A88,ShP,EPSapa,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134
2023-0075, A60 ,A88,ShP,EPSapa,0,0,0,0,0,756,1890,1134,1134,1134,1134,1134
2023-0076, A8E ,A88,ShP,EPSapa,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134
2023-0077, G08_GAC ,A88,ShP,EPSapa,0,0,0,0,0,0,0,0,192.78,756,756,756
2023-0078, L233 CUV-C ,BEV3,NjP,EPSapa,1467.18432,1237.39056,1287.25632,1644.54192,1952.47584,2570.91408,2828.46816,3085.50816,3207.8592,3083.45184,3085.50816,2826.92592
2023-0079, X294 ,EQE,YtP,EPSapa,22.68,22.68,30.24,30.24,37.8,37.8,37.8,37.8,52.92,52.92,30.24,27.972
2023-0080, V295 ,EQE,YtP,EPSapa,1814.4,1814.4,1512,1512,1663.2,1663.2,1663.2,1663.2,2268,2268,1814.4,1818.936
2023-0081, X294 4x4 ,EQE,YtP,EPSapa,1285.2,1285.2,1209.6,1209.6,1209.6,1209.6,1209.6,1285.2,1436.4,1436.4,1285.2,1265.544
2023-0082, V295 4x4 ,EQE,YtP,EPSapa,75.6,75.6,151.2,151.2,226.8,226.8,302.4,302.4,529.2,529.2,453.6,495.936
2023-0083, R2 ,ESEA,NjP,EPSapa,0,0,0,0,0,0,0,0,0,0,192.78,756
2023-0084, EX11_Geely ,EX11,NjP,EPSapa,1323,1323,1323,1323,1323,1323,1323,1323,1323,1323,1323,1323
2023-0085, EX11_Geely ,EX11,NjP,EPSapa,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.68
2023-0086, G38 ,G38,NjP,EPSapa,7124.544,9580.788,11189.556,8380.26,11118.492,10000.368,10586.268,10997.532,10001.88,9160.452,11113.956,0
2023-0087, V213 4x4 ,MRA2,NjP,EPSapa,280.098,353.808,398.034,324.324,353.808,155.08584,55.83816,0,0,0,0,0
2023-0088, V206 4x4 ,MRA2,NjP,EPSapa,60.932088,78.194592,89.678232,72.479232,79.305912,80.523072,71.15094,77.73948,66.261132,71.1774,88.117092,84.481488
